endpoint,category,method_hint,source_path,source_url,observed_status,context
https://ilearn.thu.edu.tw/api/uploads/21/modified-image?thumbnail=0x272,uploads,UNKNOWN,raw/ilearn.thu.edu.tw/index.html,https://ilearn.thu.edu.tw,,"-height: auto"">
<root-scope-variable name=""currentUserName"" value=""[REDACTED_USER_NAME]""></root-scope-variable>
<div class=""header header-autocollapse wg-header"" ng-controller=""HeaderCtrl""
     ng-init=""orgName='iLearn 教學平台'; orgLogoUrl='https://ilearn.thu.edu.tw/api/uploads/21/modified-image?thumbnail=0x272'; orgShowName='True';
              orgShowLogo='True'; avatarSmallUrl = 'https://ilearn.thu.edu.tw/api/uploads/[REDACTED_AVATAR_ID]/modified-image?thumbnail=32x32';
              langNames={'zh-TW': '繁"
https://ilearn.thu.edu.tw/api/uploads/{id}/modified-image?thumbnail=32x32,uploads,UNKNOWN,raw/ilearn.thu.edu.tw/index.html,https://ilearn.thu.edu.tw,,"g-controller=""HeaderCtrl""
     ng-init=""orgName='iLearn 教學平台'; orgLogoUrl='https://ilearn.thu.edu.tw/api/uploads/21/modified-image?thumbnail=0x272'; orgShowName='True';
              orgShowLogo='True'; avatarSmallUrl = 'https://ilearn.thu.edu.tw/api/uploads/[REDACTED_AVATAR_ID]/modified-image?thumbnail=32x32';
              langNames={'zh-TW': '繁體中文', 'zh-CN': '简体中文', 'zh-MO': '繁體中文 (澳門)', 'en-US': 'English (US)', 'en-GB': 'English (UK)', 'th-TH': 'ภาษาไทย', 'id-ID': 'Bahasa Indonesia', 'ms-MY': 'Bahasa Ma"
/api/uploads/,uploads,UNKNOWN,raw/ilearn.thu.edu.tw/index.html,https://ilearn.thu.edu.tw,,"load.status != 'uploading'"">
        <i class=""icon icon-file-preview-restore""></i>
    </a>
    <a ng-if=""forceShowDownloadButton && upload.id && upload.type != 'link' && !upload.isFromKnowledgeGraph""
       ng-href=""[['/api/uploads/'+upload.id+'/blob']]"" title=""下載"" target=""_blank"">
        <i class=""icon icon-file-preview-download""></i>
    </a>
    <a ng-if=""upload.from_project && upload.allow_download""
       ng-href=""[[ '/api/project/'+upload.pro"
/api/project/,project,UNKNOWN,raw/ilearn.thu.edu.tw/index.html,https://ilearn.thu.edu.tw,,"ng-href=""[['/api/uploads/'+upload.id+'/blob']]"" title=""下載"" target=""_blank"">
        <i class=""icon icon-file-preview-download""></i>
    </a>
    <a ng-if=""upload.from_project && upload.allow_download""
       ng-href=""[[ '/api/project/'+upload.project_id+'/share-resource/blob?upload_id='+upload.id+'&node_ids='+upload.node_ids+'&reference_id='+upload.ref_id ]]"" title=""下載""  target=""_blank"">
        <i class=""icon icon-file-preview-download""></i>
    </a>"
/api/shared-resources/{expr}/blob,shared-resources,UNKNOWN,raw/ilearn.thu.edu.tw/index.html,https://ilearn.thu.edu.tw,,"source)"" title=""下載"">
        <i class=""icon icon-file-preview-download""></i>
    </a>
    <a ng-if=""resource && resource.open_scope == 'group' && resource.allow_download && resource.upload.status != 'uploading'"" ng-href=""/api/shared-resources/[[resource.id]]/blob"" target=""_self"" title=""下載"">
        <i class=""icon icon-file-preview-download""></i>
    </a>
    <a ng-if=""resource && resource.share_to_id && resource.allow_download && resource.upload.status != 'uploading'"" ng-href=""/a"
/api/shared-resources-to/{expr}/blob,shared-resources-to,UNKNOWN,raw/ilearn.thu.edu.tw/index.html,https://ilearn.thu.edu.tw,,"ob"" target=""_self"" title=""下載"">
        <i class=""icon icon-file-preview-download""></i>
    </a>
    <a ng-if=""resource && resource.share_to_id && resource.allow_download && resource.upload.status != 'uploading'"" ng-href=""/api/shared-resources-to/[[resource.id]]/blob"" target=""_self"" title=""下載"">
        <i class=""icon icon-file-preview-download""></i>
    </a>
    <a id=""downloadManual"" ng-if=""!resource && manualUrl "" ng-href=""[[manualUrl]]""
       target=""_blank"" title=""下載"" download="""
/api/uploads/reference/{expr}/blob,uploads,UNKNOWN,raw/ilearn.thu.edu.tw/index.html,https://ilearn.thu.edu.tw,,"edit-view-2""></i>
            </a>
        <a ng-click=""openSobeyVideo()"" ng-if=""upload.source==='sobey'"">
            <i class=""font font-table-edit-view-2""></i>
        </a>
                <a stop-propagation ng-href=""/api/uploads/reference/[[upload.reference_id]]/blob"" target=""_blank""
                    title=""下載"" ng-click=""downloadBlob(activity, upload)""
                    ng-if=""upload.reference_id && !upload.deleted && upload.allow_download && canShowResource(upload, isInstructor"
/api/uploads/{expr}/blob?preview=true&activity_type={expr},uploads,UNKNOWN,raw/ilearn.thu.edu.tw/index.html,https://ilearn.thu.edu.tw,,"ce(upload, isInstructorView)"">
                    <i class=""font font-table-edit-download""></i>
                    <span class=""dropdown-item"">下載</span>
                </a>
                <a stop-propagation ng-href=""/api/uploads/[[upload.id]]/blob?preview=true&activity_type=[[activity.type]]"" target=""_blank""
                    title=""下載"" ng-click=""downloadBlob(activity, upload)""
                    ng-if=""!upload.reference_id && !upload.deleted && upload.allow_download && !upload.source &&"
/api/uploads/{expr}/blob,uploads,UNKNOWN,raw/ilearn.thu.edu.tw/index.html,https://ilearn.thu.edu.tw,,"             <i class=""font font-table-edit-download""></i>
                    <span class=""dropdown-item"">下載</span>
                </a>
                <!-- 针对特殊source类型 -->
                <a stop-propagation ng-href=""/api/uploads/[[upload.id]]/blob""
                    title=""下載"" ng-click=""downloadBlob(activity, upload)""
                    ng-if=""!upload.reference_id && !upload.deleted && upload.allow_download && ['auto-generated-pdf'].includes(upload.source) && c"
/api/wedrive/file/{expr},wedrive,UNKNOWN,raw/ilearn.thu.edu.tw/index.html,https://ilearn.thu.edu.tw,,"ce(upload, isInstructorView)"">
                    <i class=""font font-table-edit-download""></i>
                    <span class=""dropdown-item"">下載</span>
                </a>
                <a stop-propagation ng-href=""/api/wedrive/file/[[upload.fileid]]""
                    title=""下載""
                    ng-if=""!upload.deleted && upload.allow_download && upload.source == 'WEDRIVE' && canShowResource(upload, isInstructorView)"">
                    <i class=""font font-tab"
